会社名,コード,格付,格付2,クレジットウォッチ,DmySP,株価終値,売買単位,発行株式数,企業価値,営業純利益,減価償却費,減損損失,繰延法人税,負債合計,利子支払,税支払,営業活動からのキャッシュフロー,設備投資費用,売上総収益,期首資本,期末資本,総資産,純資産,新株予約権,自己資本,企業分類
東急,9005,AA,-,安定的,J1,1461,100,624869876,9.12935E+11,55715,88308,26806,0,1723522,8607,17900,85890,0,188494,809614,752538,2476061,752538,0,702355,General
京浜急行電鉄,9006,A,+,安定的,J1,1296,100,275760547,3.57386E+11,33037,31712,9510,0,680002,4113,5352,7219,42684,17868,267655,249051,929053,249051,0,246929,General
小田急電鉄,9007,AA,-,安定的,J1,2602,100,368497717,9.58831E+11,41261,51258,15751,0,974539,5396,2781,27178,60653,57045,390183,352456,1326996,352456,0,349878,General
京王電鉄,9008,AA,,安定的,J1,6110,100,128550830,7.85446E+11,21067,34663,9207,0,568229,3091,6828,6897,0,26683,373454,344395,912624,344395,0,344347,General
京成電鉄,9009,A,+,安定的,NonSP,3245,100,172411185,5.59474E+11,32335,30240,491,0,504653,2453,5122,9282,0,18665,428664,396044,900698,396044,0,378638,General
富士急行,9010,BBB,+,ネガティブ,NonSP,5060,100,54884738,2.77717E+11,3728,6775,736,0,76919,475,402,2888,0,30451,27664,24682,101601,24682,0,23836,General
東日本旅客鉄道,9020,AAA,,安定的,J1,7280,100,377932400,2.75135E+12,703591,399998,80032,0,6359058,60663,28024,189968,0,39940,3173427,2557361,8916420,2557361,0,2535027,General
JR東日本,9020,A,+,ネガティブ,SP,7280,100,377932400,2.75135E+12,703591,399998,80032,0,6359058,60663,28024,189968,0,39940,3173427,2557361,8916420,2557361,0,2535027,General
西日本旅客鉄道,9021,AA,+,安定的,NonSP,5917,100,191334500,1.13213E+12,274740,173468,0,0,2523418,20455,14113,103295,0,898172,1223106,956033,3479452,956033,0,852914,General
東海旅客鉄道,9022,AAA,,安定的,NonSP,15855,100,206000000,3.26613E+12,268576,199362,0,0,5913760,79225,5547,169354,470185,823517,3872103,3686609,9600370,3686609,0,3642515,General
JR東海,9022,A,+,ネガティブ,SP,15855,100,206000000,3.26613E+12,268576,199362,0,0,5913760,79225,5547,169354,470185,20241,3872103,3686609,9600370,3686609,0,3642515,General
西武ホールディングス,9024,A,-,ネガティブ,NonSP,1231,100,323462920,3.98183E+11,71970,57839,20225,0,1312809,9959,5774,24264,0,337061,373427,385687,1698497,385687,407,299742,General
